month,rents_count
2019-06-25 00:00:00,8396
2019-06-26 00:00:00,11476
2019-06-27 00:00:00,11697
2019-06-28 00:00:00,11170
2019-06-29 00:00:00,7169
2019-06-30 00:00:00,6449
2019-07-01 00:00:00,10879
2019-07-02 00:00:00,11237
2019-07-03 00:00:00,10408
2019-07-04 00:00:00,11113
2019-07-05 00:00:00,8193
2019-07-06 00:00:00,5403
2019-07-07 00:00:00,9258
2019-07-08 00:00:00,11190
2019-07-09 00:00:00,11480
2019-07-10 00:00:00,11191
2019-07-11 00:00:00,11390
2019-07-12 00:00:00,8800
2019-07-13 00:00:00,9939
2019-07-14 00:00:00,9438
2019-07-15 00:00:00,11549
2019-07-16 00:00:00,12206
2019-07-17 00:00:00,9197
2019-07-18 00:00:00,10166
2019-07-19 00:00:00,11221
2019-07-20 00:00:00,6795
2019-07-21 00:00:00,7260
2019-07-22 00:00:00,9545
2019-07-23 00:00:00,7956
2019-07-24 00:00:00,12861
2019-07-25 00:00:00,13209
2019-07-26 00:00:00,12444
2019-07-27 00:00:00,10151
2019-07-28 00:00:00,9097
2019-07-29 00:00:00,11297
2019-07-30 00:00:00,12046
2019-07-31 00:00:00,10109
2019-08-01 00:00:00,13054
2019-08-02 00:00:00,12351
2019-08-03 00:00:00,9499
2019-08-04 00:00:00,9888
2019-08-05 00:00:00,12318
2019-08-06 00:00:00,12625
2019-08-07 00:00:00,11122
2019-08-08 00:00:00,11822
2019-08-09 00:00:00,12001
2019-08-10 00:00:00,11443
2019-08-11 00:00:00,10040
2019-08-12 00:00:00,11841
2019-08-13 00:00:00,11217
2019-08-14 00:00:00,12113
2019-08-15 00:00:00,12208
2019-08-16 00:00:00,11620
2019-08-17 00:00:00,9321
2019-08-18 00:00:00,8416
2019-08-19 00:00:00,9474
2019-08-20 00:00:00,11553
2019-08-21 00:00:00,9569
2019-08-22 00:00:00,11302
2019-08-23 00:00:00,10833
2019-08-24 00:00:00,10004
2019-08-25 00:00:00,8341
2019-08-26 00:00:00,10946
2019-08-27 00:00:00,11854
2019-08-28 00:00:00,7593
2019-08-29 00:00:00,12084
2019-08-30 00:00:00,11706
2019-08-31 00:00:00,9361
2019-09-01 00:00:00,9777
2019-09-02 00:00:00,6894
2019-09-03 00:00:00,13369
2019-09-04 00:00:00,11836
2019-09-05 00:00:00,13661
2019-09-06 00:00:00,12888
2019-09-07 00:00:00,9732
2019-09-08 00:00:00,10742
2019-09-09 00:00:00,13167
2019-09-10 00:00:00,13109
2019-09-11 00:00:00,13661
2019-09-12 00:00:00,10592
2019-09-13 00:00:00,13138
2019-09-14 00:00:00,8742
2019-09-15 00:00:00,10909
2019-09-16 00:00:00,12878
2019-09-17 00:00:00,13406
2019-09-18 00:00:00,13286
2019-09-19 00:00:00,13554
2019-09-20 00:00:00,14282
2019-09-21 00:00:00,12449
2019-09-22 00:00:00,11335
2019-09-23 00:00:00,13222
2019-09-24 00:00:00,13427
2019-09-25 00:00:00,13520
2019-09-26 00:00:00,10935
2019-09-27 00:00:00,14025
2019-09-28 00:00:00,11963
2019-09-29 00:00:00,10682
2019-09-30 00:00:00,12004
2019-10-01 00:00:00,12183
2019-10-02 00:00:00,9071
2019-10-03 00:00:00,11496
2019-10-04 00:00:00,11767
2019-10-05 00:00:00,9315
2019-10-06 00:00:00,8632
2019-10-07 00:00:00,11449
2019-10-08 00:00:00,11403
2019-10-09 00:00:00,9153
2019-10-10 00:00:00,9473
2019-10-11 00:00:00,5724
2019-10-12 00:00:00,6744
2019-10-13 00:00:00,9942
2019-10-14 00:00:00,10029
2019-10-15 00:00:00,11776
2019-10-16 00:00:00,10933
